Main Product,Competitor Name,ASIN,Suggested Slug,Research File
"HENCKELS 9-Inch Fine Edge Sharpening Steel","Bob Kramer by ZWILLING Double-Cut Sharpening Steel (12-inch)",NEED ASIN,bob-kramer-by-zwilling-double-cut-sharpening-steel-12-inch,Product-14-Henckels-Sharpening-Steel-Comparison-Research.md
"HENCKELS 9-Inch Fine Edge Sharpening Steel","Idahone Fine Ceramic Sharpening Rod (12-inch)",NEED ASIN,idahone-fine-ceramic-sharpening-rod-12-inch,Product-14-Henckels-Sharpening-Steel-Comparison-Research.md
"HENCKELS 9-Inch Fine Edge Sharpening Steel","Victorinox 10-Inch Fibrox Honing Steel",NEED ASIN,victorinox-10-inch-fibrox-honing-steel,Product-14-Henckels-Sharpening-Steel-Comparison-Research.md
"Victorinox 9"" Offset Serrated Bread Knife","Dexter-Russell Sani-Safe 9"" Offset Scalloped Bread Knife",NEED ASIN,dexter-russell-sani-safe-9-offset-scalloped-bread-knife,Product-18-Victorinox-Offset-Bread-Knife-Research.md
"Victorinox 9"" Offset Serrated Bread Knife","Mercer Culinary Millennia 9"" Offset Wavy Edge Bread Knife",NEED ASIN,mercer-culinary-millennia-9-offset-wavy-edge-bread-knife,Product-18-Victorinox-Offset-Bread-Knife-Research.md
"Victorinox 9"" Offset Serrated Bread Knife","Wüsthof Classic 8"" Offset Deli Knife",NEED ASIN,wsthof-classic-8-offset-deli-knife,Product-18-Victorinox-Offset-Bread-Knife-Research.md
"Ninja BL660 Professional Blender","Ninja BL610 Professional Blender",NEED ASIN,ninja-bl610-professional-blender,Product-21-Ninja-BL660-Research.md
"Ninja BL660 Professional Blender","Hamilton Beach Power Elite Wave Action",NEED ASIN,hamilton-beach-power-elite-wave-action,Product-21-Ninja-BL660-Research.md
"Ninja BL660 Professional Blender","Oster Pro 1200 Blender",NEED ASIN,oster-pro-1200-blender,Product-21-Ninja-BL660-Research.md
"Bodum Chambord French Press (34 oz)","ESPRO P3 French Press (32 oz)",NEED ASIN,espro-p3-french-press-32-oz,Product-22-Bodum-Chambord-French-Press-Research.md
"Bodum Chambord French Press (34 oz)","Stanley Classic Stay Hot French Press (48 oz)",NEED ASIN,stanley-classic-stay-hot-french-press-48-oz,Product-22-Bodum-Chambord-French-Press-Research.md
"Bodum Chambord French Press (34 oz)","Bodum Columbia Insulated French Press (34 oz)",NEED ASIN,bodum-columbia-insulated-french-press-34-oz,Product-22-Bodum-Chambord-French-Press-Research.md
"OXO Good Grips Multi-Purpose Stainless Steel Scraper & Chopper","Dexter-Russell Sani-Safe 6"" x 3"" Dough Cutter/Scraper",B00004OCNJ,dexter-russell-sani-safe-6-x-3-dough-cutterscraper,Product-26-OXO-Bench-Scraper-Research.md
"OXO Good Grips Multi-Purpose Stainless Steel Scraper & Chopper","Norpro Grip-EZ Scraper/Chopper",B01KQ8QD8I,norpro-grip-ez-scraperchopper,Product-26-OXO-Bench-Scraper-Research.md
"OXO Good Grips Multi-Purpose Stainless Steel Scraper & Chopper","KitchenAid All Purpose Stainless Steel Dough Pastry Scraper/Chopper/Cutter",B004NG990E,kitchenaid-all-purpose-stainless-steel-dough-pastry-scraperchoppercutter,Product-26-OXO-Bench-Scraper-Research.md
"OXO Good Grips Swivel Peeler","Kuhn Rikon Original Swiss Peeler",NEED ASIN,kuhn-rikon-original-swiss-peeler,Product-28-OXO-Swivel-Peeler-Research.md
"OXO Good Grips Swivel Peeler","Spring Chef Premium Swivel Vegetable Peeler",NEED ASIN,spring-chef-premium-swivel-vegetable-peeler,Product-28-OXO-Swivel-Peeler-Research.md
"OXO Good Grips Swivel Peeler","Swissmar Y-Peeler",NEED ASIN,swissmar-y-peeler,Product-28-OXO-Swivel-Peeler-Research.md
"Winco UT-12 12-Inch Coiled Spring Heavyweight Stainless Steel Utility Tongs","OXO Good Grips 12-Inch Stainless Steel Locking Tongs",NEED ASIN,oxo-good-grips-12-inch-stainless-steel-locking-tongs,Product-30-Winco-Heavy-Duty-Tongs-Research.md
"Winco UT-12 12-Inch Coiled Spring Heavyweight Stainless Steel Utility Tongs","Edlund 4412HDL 44 Series 12-Inch Heavy-Duty Scallop Utility Tongs with Lock",NEED ASIN,edlund-4412hdl-44-series-12-inch-heavy-duty-scallop-utility-tongs-with-lock,Product-30-Winco-Heavy-Duty-Tongs-Research.md
"Winco UT-12 12-Inch Coiled Spring Heavyweight Stainless Steel Utility Tongs","KitchenAid 12-Inch Stainless Steel Utility Tongs",NEED ASIN,kitchenaid-12-inch-stainless-steel-utility-tongs,Product-30-Winco-Heavy-Duty-Tongs-Research.md
"Diamond Crystal Kosher Salt","Morton Coarse Kosher Salt",NEED ASIN,morton-coarse-kosher-salt,Product-31-Diamond-Crystal-Kosher-Salt-Research.md
"Diamond Crystal Kosher Salt","Maldon Sea Salt Flakes",NEED ASIN,maldon-sea-salt-flakes,Product-31-Diamond-Crystal-Kosher-Salt-Research.md
"Diamond Crystal Kosher Salt","Redmond Real Salt (Kosher Size)",NEED ASIN,redmond-real-salt-kosher-size,Product-31-Diamond-Crystal-Kosher-Salt-Research.md
"Zuperia Bar Mop Kitchen Towels","Utopia Towels Kitchen Bar Mops",NEED ASIN,utopia-towels-kitchen-bar-mops,Product-34-Zuperia-Bar-Mops-Research.md
"Zuperia Bar Mop Kitchen Towels","Softolle Bar Mop Towels",NEED ASIN,softolle-bar-mop-towels,Product-34-Zuperia-Bar-Mops-Research.md
"Zuperia Bar Mop Kitchen Towels","DecorRack 100% Cotton Bar Mops",NEED ASIN,decorrack-100-cotton-bar-mops,Product-34-Zuperia-Bar-Mops-Research.md
"Black+Decker Crisp 'N Bake Air Fry TO1785SG","Hamilton Beach Sure-Crisp Air Fryer Toaster Oven (31403)",NEED ASIN,hamilton-beach-sure-crisp-air-fryer-toaster-oven-31403,blackdecker-toaster-oven-comparison-research.md
"Black+Decker Crisp 'N Bake Air Fry TO1785SG","Cuisinart TOA-60 Air Fryer Toaster Oven",NEED ASIN,cuisinart-toa-60-air-fryer-toaster-oven,blackdecker-toaster-oven-comparison-research.md
"Black+Decker Crisp 'N Bake Air Fry TO1785SG","COSORI Smart 12-in-1 Air Fryer Toaster Oven",NEED ASIN,cosori-smart-12-in-1-air-fryer-toaster-oven,blackdecker-toaster-oven-comparison-research.md
"Cuisinart Chef's Classic Nonstick Stainless 8-Inch Skillet","T-fal Experience Nonstick 8-Inch Fry Pan",NEED ASIN,t-fal-experience-nonstick-8-inch-fry-pan,cuisinart-8inch-nonstick-pan-research.md
"Cuisinart Chef's Classic Nonstick Stainless 8-Inch Skillet","All-Clad D3 Pro Nonstick 8-Inch Fry Pan",NEED ASIN,all-clad-d3-pro-nonstick-8-inch-fry-pan,cuisinart-8inch-nonstick-pan-research.md
"Cuisinart Chef's Classic Nonstick Stainless 8-Inch Skillet","OXO Good Grips Pro 8-Inch Nonstick Fry Pan",NEED ASIN,oxo-good-grips-pro-8-inch-nonstick-fry-pan,cuisinart-8inch-nonstick-pan-research.md
"Cuisinart Chef's Classic Nonstick Stainless 8-Inch Skillet","Tramontina Professional 8-Inch Non-Stick Fry Pan",NEED ASIN,tramontina-professional-8-inch-non-stick-fry-pan,cuisinart-8inch-nonstick-pan-research.md
"KitchenAid KSM8990WH Commercial 8-Qt Mixer","Globe SP08 8-Qt Commercial Planetary Mixer",NEED ASIN,globe-sp08-8-qt-commercial-planetary-mixer,kitchenaid-ksm8990wh-research.md
"KitchenAid KSM8990WH Commercial 8-Qt Mixer","KitchenAid Professional 600 Series (KP26M1X) 6-Qt",NEED ASIN,kitchenaid-professional-600-series-kp26m1x-6-qt,kitchenaid-ksm8990wh-research.md
"KitchenAid KSM8990WH Commercial 8-Qt Mixer","KitchenAid Pro Line 7-Qt (KSM7586P)",NEED ASIN,kitchenaid-pro-line-7-qt-ksm7586p,kitchenaid-ksm8990wh-research.md
"KitchenAid KSM8990WH Commercial 8-Qt Mixer","Hobart N50 5-Qt Commercial Mixer",NEED ASIN,hobart-n50-5-qt-commercial-mixer,kitchenaid-ksm8990wh-research.md
"Method All-Purpose Cleaner (Pink Grapefruit)","Seventh Generation All-Purpose Cleaner (Free & Clear)",NEED ASIN,seventh-generation-all-purpose-cleaner-free-clear,method-all-purpose-cleaner-comparison-research.md
"Method All-Purpose Cleaner (Pink Grapefruit)","Mrs. Meyer's Clean Day Multi-Surface Cleaner (Lemon Verbena)",NEED ASIN,mrs-meyers-clean-day-multi-surface-cleaner-lemon-verbena,method-all-purpose-cleaner-comparison-research.md
"Method All-Purpose Cleaner (Pink Grapefruit)","Blueland Multi-Surface Cleaner (Fresh Lemon Tablet)",NEED ASIN,blueland-multi-surface-cleaner-fresh-lemon-tablet,method-all-purpose-cleaner-comparison-research.md
"Nordic Ware Natural Aluminum Baker's Half Sheet","USA Pan Nonstick Half Sheet",NEED ASIN,usa-pan-nonstick-half-sheet,nordic-ware-half-sheet-research.md
"Nordic Ware Natural Aluminum Baker's Half Sheet","Vollrath Wear-Ever Half Size Sheet Pan",NEED ASIN,vollrath-wear-ever-half-size-sheet-pan,nordic-ware-half-sheet-research.md
"Nordic Ware Natural Aluminum Baker's Half Sheet","Chicago Metallic Commercial II Half Sheet",NEED ASIN,chicago-metallic-commercial-ii-half-sheet,nordic-ware-half-sheet-research.md
"Cuisinart DLC-10SY Pro Classic 7-Cup Food Processor","KitchenAid KFP0718 Easy Store 7-Cup Food Processor",NEED ASIN,kitchenaid-kfp0718-easy-store-7-cup-food-processor,product-10-cuisinart-dlc-10sy-comparison-data.md
"Cuisinart DLC-10SY Pro Classic 7-Cup Food Processor","Hamilton Beach Stack & Snap 12-Cup Food Processor (70725A)",NEED ASIN,hamilton-beach-stack-snap-12-cup-food-processor-70725a,product-10-cuisinart-dlc-10sy-comparison-data.md
"Cuisinart DLC-10SY Pro Classic 7-Cup Food Processor","Ninja Professional Plus Food Processor (BN601)",NEED ASIN,ninja-professional-plus-food-processor-bn601,product-10-cuisinart-dlc-10sy-comparison-data.md
"John Boos Platinum Commercial Series R2418","Teakhaus/Proteak Edge Grain Cutting Board",NEED ASIN,teakhausproteak-edge-grain-cutting-board,product-11-john-boos-platinum-cutting-board-comparison-research.md
"John Boos Platinum Commercial Series R2418","Epicurean Kitchen Series Cutting Board",NEED ASIN,epicurean-kitchen-series-cutting-board,product-11-john-boos-platinum-cutting-board-comparison-research.md
"John Boos Platinum Commercial Series R2418","Boardsmith Maple Carolina Slab (End Grain)",NEED ASIN,boardsmith-maple-carolina-slab-end-grain,product-11-john-boos-platinum-cutting-board-comparison-research.md
"Robot Coupe R2 Dice","Waring Commercial WFP14S",NEED ASIN,waring-commercial-wfp14s,product-12-robot-coupe-r2-dice-comparison-research.md
"Robot Coupe R2 Dice","Cuisinart DFP-14BCNY (14-Cup)",NEED ASIN,cuisinart-dfp-14bcny-14-cup,product-12-robot-coupe-r2-dice-comparison-research.md
"Robot Coupe R2 Dice","KitchenAid KFP1318 (13-Cup)",NEED ASIN,kitchenaid-kfp1318-13-cup,product-12-robot-coupe-r2-dice-comparison-research.md
"Victorinox Fibrox Pro 10-Inch Chef's Knife","Wüsthof Classic 10-Inch Chef's Knife",NEED ASIN,wsthof-classic-10-inch-chefs-knife,product-15-victorinox-10-inch-chef-knife-research.md
"Victorinox Fibrox Pro 10-Inch Chef's Knife","Mercer Culinary Millennia 10-Inch Chef's Knife",NEED ASIN,mercer-culinary-millennia-10-inch-chefs-knife,product-15-victorinox-10-inch-chef-knife-research.md
"Victorinox Fibrox Pro 10-Inch Chef's Knife","Shun Classic 10-Inch Chef's Knife",NEED ASIN,shun-classic-10-inch-chefs-knife,product-15-victorinox-10-inch-chef-knife-research.md
"Victorinox Swiss Classic 4-Inch Paring Knife","Mercer Culinary Renaissance 3.5-Inch Paring Knife",NEED ASIN,mercer-culinary-renaissance-35-inch-paring-knife,product-16-victorinox-4inch-paring-knife-research.md
"Victorinox Swiss Classic 4-Inch Paring Knife","Wüsthof Classic 3.5-Inch Paring Knife",NEED ASIN,wsthof-classic-35-inch-paring-knife,product-16-victorinox-4inch-paring-knife-research.md
"Victorinox Swiss Classic 4-Inch Paring Knife","Henckels Classic 4-Inch Paring Knife",NEED ASIN,henckels-classic-4-inch-paring-knife,product-16-victorinox-4inch-paring-knife-research.md
"Victorinox 6"" Granton Edge Boning Knife","Wüsthof Classic 6"" Flexible Boning Knife",NEED ASIN,wsthof-classic-6-flexible-boning-knife,product-17-victorinox-granton-boning-knife-research.md
"Victorinox 6"" Granton Edge Boning Knife","Mercer Genesis 6"" Flexible Boning Knife",NEED ASIN,mercer-genesis-6-flexible-boning-knife,product-17-victorinox-granton-boning-knife-research.md
"Victorinox 6"" Granton Edge Boning Knife","Zwilling Professional S 5.5"" Flexible Boning Knife",NEED ASIN,zwilling-professional-s-55-flexible-boning-knife,product-17-victorinox-granton-boning-knife-research.md
"Victorinox 6"" Granton Edge Boning Knife","Dexter-Russell Sani-Safe 6"" Boning Knife",NEED ASIN,dexter-russell-sani-safe-6-boning-knife,product-17-victorinox-granton-boning-knife-research.md
"Lodge Seasoned Cast Iron 3-Skillet Bundle","Victoria Cast Iron 3-Piece Skillet Set",NEED ASIN,victoria-cast-iron-3-piece-skillet-set,product-20-lodge-cast-iron-3-skillet-bundle-research.md
"Lodge Seasoned Cast Iron 3-Skillet Bundle","Utopia Kitchen Pre-Seasoned Cast Iron 3-Piece Set",NEED ASIN,utopia-kitchen-pre-seasoned-cast-iron-3-piece-set,product-20-lodge-cast-iron-3-skillet-bundle-research.md
"Lodge Seasoned Cast Iron 3-Skillet Bundle","Cuisinel Cast Iron 3-Piece Skillet Set",NEED ASIN,cuisinel-cast-iron-3-piece-skillet-set,product-20-lodge-cast-iron-3-skillet-bundle-research.md
"KitchenAid Professional 600 Series (KP26M1XLC)","KitchenAid Professional 5 Plus (KV25G0X)",NEED ASIN,kitchenaid-professional-5-plus-kv25g0x,product-23-kitchenaid-pro-600-research.md
"KitchenAid Professional 600 Series (KP26M1XLC)","Ankarsrum Original (Assistent Original)",NEED ASIN,ankarsrum-original-assistent-original,product-23-kitchenaid-pro-600-research.md
"KitchenAid Professional 600 Series (KP26M1XLC)","Bosch Universal Plus (MUM6N10UC)",NEED ASIN,bosch-universal-plus-mum6n10uc,product-23-kitchenaid-pro-600-research.md
"KitchenAid Professional 600 Series (KP26M1XLC)","KitchenAid Professional 6500 Design Series (KSM6521X)",NEED ASIN,kitchenaid-professional-6500-design-series-ksm6521x,product-23-kitchenaid-pro-600-research.md
"Rubbermaid Commercial High Heat Scraper","Vollrath 52010 High-Temperature Silicone Spatula",B0001MSEHI,vollrath-52010-high-temperature-silicone-spatula,product-29-rubbermaid-scraper-research.md
"Rubbermaid Commercial High Heat Scraper","GIR Ultimate Silicone Spatula",B00BJT65AA,gir-ultimate-silicone-spatula,product-29-rubbermaid-scraper-research.md
"Rubbermaid Commercial High Heat Scraper","OXO Good Grips Silicone Spatula",B00CYDFLDW,oxo-good-grips-silicone-spatula,product-29-rubbermaid-scraper-research.md
"KitchenAid Professional 5 Plus (Model KV25G0X)","KitchenAid Professional 600 (Model KP26M1X)",NEED ASIN,kitchenaid-professional-600-model-kp26m1x,product-4-kitchenaid-pro-5-plus-comparison-research.md
"KitchenAid Professional 5 Plus (Model KV25G0X)","KitchenAid Artisan 5-Quart (Model KSM150PS)",NEED ASIN,kitchenaid-artisan-5-quart-model-ksm150ps,product-4-kitchenaid-pro-5-plus-comparison-research.md
"KitchenAid Professional 5 Plus (Model KV25G0X)","Cuisinart Precision Master SM-50 (5.5 Quart)",NEED ASIN,cuisinart-precision-master-sm-50-55-quart,product-4-kitchenaid-pro-5-plus-comparison-research.md
"KitchenAid Professional 5 Plus (Model KV25G0X)","Ankarsrum Assistent Original (7 Liter)",NEED ASIN,ankarsrum-assistent-original-7-liter,product-4-kitchenaid-pro-5-plus-comparison-research.md
"Benriner Super Benriner Mandoline Slicer","OXO Good Grips Chef's Mandoline Slicer 2.0",NEED ASIN,oxo-good-grips-chefs-mandoline-slicer-20,product-5-benriner-mandoline-comparison-research.md
"Benriner Super Benriner Mandoline Slicer","Swissmar Börner V-Slicer Plus Mandoline",NEED ASIN,swissmar-brner-v-slicer-plus-mandoline,product-5-benriner-mandoline-comparison-research.md
"Benriner Super Benriner Mandoline Slicer","DASH Safe Slice Mandoline",NEED ASIN,dash-safe-slice-mandoline,product-5-benriner-mandoline-comparison-research.md
"Benriner Super Benriner Mandoline Slicer","Kyocera Soft Grip Adjustable Mandoline Ceramic Slicer",NEED ASIN,kyocera-soft-grip-adjustable-mandoline-ceramic-slicer,product-5-benriner-mandoline-comparison-research.md
"Victorinox Fibrox Pro 8-Inch Chef's Knife","Mercer Genesis 8-Inch Forged Chef's Knife",NEED ASIN,mercer-genesis-8-inch-forged-chefs-knife,product-7-victorinox-fibrox-pro-8in-chef-knife-research.md
"Victorinox Fibrox Pro 8-Inch Chef's Knife","Wüsthof Gourmet 8-Inch Chef's Knife",NEED ASIN,wsthof-gourmet-8-inch-chefs-knife,product-7-victorinox-fibrox-pro-8in-chef-knife-research.md
"Victorinox Fibrox Pro 8-Inch Chef's Knife","Mac Professional 8-Inch Chef's Knife with Dimples",NEED ASIN,mac-professional-8-inch-chefs-knife-with-dimples,product-7-victorinox-fibrox-pro-8in-chef-knife-research.md
"INSTANT POT DUO PLUS 6 QT","NINJA FOODI 11-IN-1 PRO 6.5 QT (FD302)",NEED ASIN,ninja-foodi-11-in-1-pro-65-qt-fd302,product-8-instant-pot-duo-plus-research.md
"INSTANT POT DUO PLUS 6 QT","BREVILLE FAST SLOW PRO 6 QT (BPR700BSS)",NEED ASIN,breville-fast-slow-pro-6-qt-bpr700bss,product-8-instant-pot-duo-plus-research.md
"INSTANT POT DUO PLUS 6 QT","COSORI CP016-PC 6 QT",NEED ASIN,cosori-cp016-pc-6-qt,product-8-instant-pot-duo-plus-research.md
"Ninja AF101 Air Fryer","COSORI Air Fryer Pro 5-Quart (CP137-AF)",NEED ASIN,cosori-air-fryer-pro-5-quart-cp137-af,product-9-ninja-af101-comparison-research.md
"Ninja AF101 Air Fryer","Instant Pot Vortex Plus 4-Quart",NEED ASIN,instant-pot-vortex-plus-4-quart,product-9-ninja-af101-comparison-research.md
"Ninja AF101 Air Fryer","Chefman TurboFry 4-Quart",NEED ASIN,chefman-turbofry-4-quart,product-9-ninja-af101-comparison-research.md
